Category,Law? 0/1,State,Subcategory,Year
Domestic violence,0,Hawaii,Restraining order,1992
Concealed carry permitting,1,Hawaii,Background checks,2017
Concealed carry permitting,1,Hawaii,Background checks,2017
Concealed carry permitting,1,Hawaii,Background checks,2017
Concealed carry permitting,0,Hawaii,Permitting,2017
Concealed carry permitting,1,Hawaii,Permitting,2017
Concealed carry permitting,1,Hawaii,Permitting,2017
Concealed carry permitting,1,Hawaii,Permitting,2017
Dealer regulation,0,Hawaii,Inspections,1991
Dealer regulation,1,Hawaii,Junk guns,1991
Dealer regulation,0,Hawaii,Liability,1991
Dealer regulation,1,Hawaii,Licensing,1991
Dealer regulation,1,Hawaii,Licensing,1991
Dealer regulation,0,Hawaii,Location,1991
Dealer regulation,0,Hawaii,Recordkeeping,1991
Dealer regulation,0,Hawaii,Recordkeeping,1991
Dealer regulation,0,Hawaii,Recordkeeping,1991
Dealer regulation,0,Hawaii,Recordkeeping,1991
Dealer regulation,1,Hawaii,Reporting,1991
Dealer regulation,0,Hawaii,Reporting,1991
Dealer regulation,1,Hawaii,Reporting,1991
Dealer regulation,0,Hawaii,Reporting,1991
Dealer regulation,1,Hawaii,Reporting,1991
Dealer regulation,0,Hawaii,Security,1991
Dealer regulation,0,Hawaii,Theft reporting,1991
Dealer regulation,0,Hawaii,Inspections,1992
Dealer regulation,1,Hawaii,Junk guns,1992
Dealer regulation,0,Hawaii,Liability,1992
Dealer regulation,1,Hawaii,Licensing,1992
Dealer regulation,1,Hawaii,Licensing,1992
Dealer regulation,0,Hawaii,Location,1992
Dealer regulation,0,Hawaii,Recordkeeping,1992
Dealer regulation,0,Hawaii,Recordkeeping,1992
Dealer regulation,0,Hawaii,Recordkeeping,1992
Dealer regulation,0,Hawaii,Recordkeeping,1992
Dealer regulation,1,Hawaii,Reporting,1992
Dealer regulation,0,Hawaii,Reporting,1992
Dealer regulation,1,Hawaii,Reporting,1992
Dealer regulation,0,Hawaii,Reporting,1992
Dealer regulation,1,Hawaii,Reporting,1992
Dealer regulation,0,Hawaii,Security,1992
Dealer regulation,0,Hawaii,Theft reporting,1992
Dealer regulation,0,Hawaii,Inspections,1993
Dealer regulation,1,Hawaii,Junk guns,1993
Dealer regulation,0,Hawaii,Liability,1993
Dealer regulation,1,Hawaii,Licensing,1993
Dealer regulation,1,Hawaii,Licensing,1993
Dealer regulation,0,Hawaii,Location,1993
Dealer regulation,0,Hawaii,Recordkeeping,1993
Dealer regulation,0,Hawaii,Recordkeeping,1993
Dealer regulation,0,Hawaii,Recordkeeping,1993
Dealer regulation,0,Hawaii,Recordkeeping,1993
Dealer regulation,1,Hawaii,Reporting,1993
Dealer regulation,0,Hawaii,Reporting,1993
Dealer regulation,1,Hawaii,Reporting,1993
Dealer regulation,0,Hawaii,Reporting,1993
Dealer regulation,1,Hawaii,Reporting,1993
Dealer regulation,0,Hawaii,Security,1993
Dealer regulation,0,Hawaii,Theft reporting,1993
Dealer regulation,0,Hawaii,Inspections,1994
Dealer regulation,1,Hawaii,Junk guns,1994
Dealer regulation,0,Hawaii,Liability,1994
Dealer regulation,1,Hawaii,Licensing,1994
Dealer regulation,1,Hawaii,Licensing,1994
Dealer regulation,0,Hawaii,Location,1994
Dealer regulation,0,Hawaii,Recordkeeping,1994
Dealer regulation,0,Hawaii,Recordkeeping,1994
Dealer regulation,0,Hawaii,Recordkeeping,1994
Dealer regulation,0,Hawaii,Recordkeeping,1994
Dealer regulation,1,Hawaii,Reporting,1994
Dealer regulation,1,Hawaii,Reporting,1994
Dealer regulation,1,Hawaii,Reporting,1994
Dealer regulation,1,Hawaii,Reporting,1994
Dealer regulation,1,Hawaii,Reporting,1994
Dealer regulation,0,Hawaii,Security,1994
Dealer regulation,0,Hawaii,Theft reporting,1994
Dealer regulation,0,Hawaii,Inspections,1995
Dealer regulation,1,Hawaii,Junk guns,1995
Dealer regulation,0,Hawaii,Liability,1995
Dealer regulation,1,Hawaii,Licensing,1995
Dealer regulation,1,Hawaii,Licensing,1995
Dealer regulation,0,Hawaii,Location,1995
Dealer regulation,0,Hawaii,Recordkeeping,1995
Dealer regulation,0,Hawaii,Recordkeeping,1995
Dealer regulation,0,Hawaii,Recordkeeping,1995
Dealer regulation,0,Hawaii,Recordkeeping,1995
Dealer regulation,1,Hawaii,Reporting,1995
Dealer regulation,1,Hawaii,Reporting,1995
Dealer regulation,1,Hawaii,Reporting,1995
Dealer regulation,1,Hawaii,Reporting,1995
Dealer regulation,1,Hawaii,Reporting,1995
Dealer regulation,0,Hawaii,Security,1995
Dealer regulation,0,Hawaii,Theft reporting,1995
Dealer regulation,0,Hawaii,Inspections,1996
Dealer regulation,1,Hawaii,Junk guns,1996
Dealer regulation,0,Hawaii,Liability,1996
Dealer regulation,1,Hawaii,Licensing,1996
Dealer regulation,1,Hawaii,Licensing,1996
Dealer regulation,0,Hawaii,Location,1996
Dealer regulation,0,Hawaii,Recordkeeping,1996
Dealer regulation,0,Hawaii,Recordkeeping,1996
Dealer regulation,0,Hawaii,Recordkeeping,1996
Dealer regulation,0,Hawaii,Recordkeeping,1996
Dealer regulation,1,Hawaii,Reporting,1996
Dealer regulation,1,Hawaii,Reporting,1996
Dealer regulation,1,Hawaii,Reporting,1996
Dealer regulation,1,Hawaii,Reporting,1996
Dealer regulation,1,Hawaii,Reporting,1996
Dealer regulation,0,Hawaii,Security,1996
Dealer regulation,0,Hawaii,Theft reporting,1996
Dealer regulation,0,Hawaii,Inspections,1997
Dealer regulation,1,Hawaii,Junk guns,1997
Dealer regulation,0,Hawaii,Liability,1997
Dealer regulation,1,Hawaii,Licensing,1997
Dealer regulation,1,Hawaii,Licensing,1997
Dealer regulation,0,Hawaii,Location,1997
Dealer regulation,0,Hawaii,Recordkeeping,1997
Dealer regulation,0,Hawaii,Recordkeeping,1997
Dealer regulation,0,Hawaii,Recordkeeping,1997
Dealer regulation,0,Hawaii,Recordkeeping,1997
Dealer regulation,1,Hawaii,Reporting,1997
Dealer regulation,1,Hawaii,Reporting,1997
Dealer regulation,1,Hawaii,Reporting,1997
Dealer regulation,1,Hawaii,Reporting,1997
Dealer regulation,1,Hawaii,Reporting,1997
Dealer regulation,0,Hawaii,Security,1997
Dealer regulation,0,Hawaii,Theft reporting,1997
Dealer regulation,0,Hawaii,Inspections,1998
Dealer regulation,1,Hawaii,Junk guns,1998
Dealer regulation,0,Hawaii,Liability,1998
Dealer regulation,1,Hawaii,Licensing,1998
Dealer regulation,1,Hawaii,Licensing,1998
Dealer regulation,0,Hawaii,Location,1998
Dealer regulation,0,Hawaii,Recordkeeping,1998
Dealer regulation,0,Hawaii,Recordkeeping,1998
Dealer regulation,0,Hawaii,Recordkeeping,1998
Dealer regulation,0,Hawaii,Recordkeeping,1998
Dealer regulation,1,Hawaii,Reporting,1998
Dealer regulation,1,Hawaii,Reporting,1998
Dealer regulation,1,Hawaii,Reporting,1998
Dealer regulation,1,Hawaii,Reporting,1998
Dealer regulation,1,Hawaii,Reporting,1998
Dealer regulation,0,Hawaii,Security,1998
Dealer regulation,0,Hawaii,Theft reporting,1998
Dealer regulation,0,Hawaii,Inspections,1999
Dealer regulation,1,Hawaii,Junk guns,1999
Dealer regulation,0,Hawaii,Liability,1999
Dealer regulation,1,Hawaii,Licensing,1999
Dealer regulation,1,Hawaii,Licensing,1999
Dealer regulation,0,Hawaii,Location,1999
Dealer regulation,0,Hawaii,Recordkeeping,1999
Dealer regulation,0,Hawaii,Recordkeeping,1999
Dealer regulation,0,Hawaii,Recordkeeping,1999
Dealer regulation,0,Hawaii,Recordkeeping,1999
Dealer regulation,1,Hawaii,Reporting,1999
Dealer regulation,1,Hawaii,Reporting,1999
Dealer regulation,1,Hawaii,Reporting,1999
Dealer regulation,1,Hawaii,Reporting,1999
Dealer regulation,1,Hawaii,Reporting,1999
Dealer regulation,0,Hawaii,Security,1999
Dealer regulation,0,Hawaii,Theft reporting,1999
Dealer regulation,0,Hawaii,Inspections,2000
Dealer regulation,1,Hawaii,Junk guns,2000
Dealer regulation,0,Hawaii,Liability,2000
Domestic violence,0,Hawaii,Stalking,2007
Domestic violence,1,Hawaii,Restraining order,2008
Domestic violence,1,Hawaii,Restraining order,2008
Domestic violence,0,Hawaii,Restraining order,2008
Domestic violence,1,Hawaii,Restraining order,2008
Domestic violence,1,Hawaii,Restraining order,2008
Domestic violence,1,Hawaii,Restraining order,2008
Domestic violence,1,Hawaii,Restraining order,2008
Domestic violence,1,Hawaii,Restraining order,2008
Domestic violence,1,Hawaii,Restraining order,2008
Domestic violence,1,Hawaii,Restraining order,2008
Domestic violence,1,Hawaii,Restraining order,2008
Domestic violence,0,Hawaii,Stalking,2008
Buyer regulation,0,Hawaii,Bulk purchase limit,2017
Buyer regulation,1,Hawaii,Fingerprinting,2017
Buyer regulation,1,Hawaii,Licensing,2017
Buyer regulation,1,Hawaii,Licensing,2017
Buyer regulation,1,Hawaii,Permitting,2017
Buyer regulation,1,Hawaii,Safety training,2017
Buyer regulation,0,Hawaii,Theft reporting,2017
Buyer regulation,1,Hawaii,Waiting period,2017
Buyer regulation,1,Hawaii,Waiting period,2017
Domestic violence,0,Hawaii,Stalking,1999
Domestic violence,1,Hawaii,Restraining order,2000
Domestic violence,1,Hawaii,Restraining order,2000
Domestic violence,0,Hawaii,Restraining order,2000
Domestic violence,1,Hawaii,Restraining order,2000
Domestic violence,1,Hawaii,Restraining order,2000
Domestic violence,1,Hawaii,Restraining order,2000
Domestic violence,1,Hawaii,Restraining order,2000
Domestic violence,1,Hawaii,Restraining order,2000
Domestic violence,1,Hawaii,Restraining order,2000
Domestic violence,1,Hawaii,Restraining order,2000
Domestic violence,1,Hawaii,Restraining order,2000
Domestic violence,0,Hawaii,Stalking,2000
Domestic violence,1,Hawaii,Restraining order,2001
Domestic violence,1,Hawaii,Restraining order,2001
Domestic violence,0,Hawaii,Restraining order,2001
