Category,Law? 0/1,State,Subcategory,Year
Buyer regulation,0,Alaska,Licensing,2012
Buyer regulation,0,Alaska,Permitting,2012
Buyer regulation,0,Alaska,Safety training,2012
Buyer regulation,0,Alaska,Theft reporting,2012
Buyer regulation,0,Alaska,Waiting period,2012
Buyer regulation,0,Alaska,Waiting period,2012
Buyer regulation,1,Alaska,Age restrictions,2013
Buyer regulation,0,Alaska,Age restrictions,2013
Buyer regulation,0,Alaska,Age restrictions,2013
Buyer regulation,0,Alaska,Age restrictions,2013
Buyer regulation,0,Alaska,Bulk purchase limit,2013
Buyer regulation,0,Alaska,Fingerprinting,2013
Buyer regulation,0,Alaska,Licensing,2013
Buyer regulation,0,Alaska,Licensing,2013
Buyer regulation,0,Alaska,Permitting,2013
Buyer regulation,0,Alaska,Safety training,2013
Buyer regulation,0,Alaska,Theft reporting,2013
Buyer regulation,0,Alaska,Waiting period,2013
Buyer regulation,0,Alaska,Waiting period,2013
Buyer regulation,1,Alaska,Age restrictions,2014
Buyer regulation,0,Alaska,Age restrictions,2014
Buyer regulation,0,Alaska,Age restrictions,2014
Buyer regulation,0,Alaska,Age restrictions,2014
Buyer regulation,0,Alaska,Bulk purchase limit,2014
Buyer regulation,0,Alaska,Fingerprinting,2014
Buyer regulation,0,Alaska,Licensing,2014
Buyer regulation,0,Alaska,Licensing,2014
Buyer regulation,0,Alaska,Permitting,2014
Buyer regulation,0,Alaska,Safety training,2014
Buyer regulation,0,Alaska,Theft reporting,2014
Buyer regulation,0,Alaska,Waiting period,2014
Buyer regulation,0,Alaska,Waiting period,2014
Buyer regulation,1,Alaska,Age restrictions,2015
Buyer regulation,0,Alaska,Age restrictions,2015
Buyer regulation,0,Alaska,Age restrictions,2015
Buyer regulation,0,Alaska,Age restrictions,2015
Buyer regulation,0,Alaska,Bulk purchase limit,2015
Buyer regulation,0,Alaska,Fingerprinting,2015
Buyer regulation,0,Alaska,Licensing,2015
Buyer regulation,0,Alaska,Licensing,2015
Buyer regulation,0,Alaska,Permitting,2015
Buyer regulation,0,Alaska,Safety training,2015
Buyer regulation,0,Alaska,Theft reporting,2015
Buyer regulation,0,Alaska,Waiting period,2015
Buyer regulation,0,Alaska,Waiting period,2015
Buyer regulation,1,Alaska,Age restrictions,2016
Buyer regulation,0,Alaska,Age restrictions,2016
Buyer regulation,0,Alaska,Age restrictions,2016
Buyer regulation,0,Alaska,Age restrictions,2016
Buyer regulation,0,Alaska,Bulk purchase limit,2016
Buyer regulation,0,Alaska,Fingerprinting,2016
Buyer regulation,0,Alaska,Licensing,2016
Buyer regulation,0,Alaska,Licensing,2016
Buyer regulation,0,Alaska,Permitting,2016
Buyer regulation,0,Alaska,Safety training,2016
Buyer regulation,0,Alaska,Theft reporting,2016
Buyer regulation,0,Alaska,Waiting period,2016
Buyer regulation,0,Alaska,Waiting period,2016
Buyer regulation,1,Alaska,Age restrictions,2017
Buyer regulation,0,Alaska,Age restrictions,2017
Buyer regulation,0,Alaska,Age restrictions,2017
Buyer regulation,0,Alaska,Age restrictions,2017
Domestic violence,0,Alaska,Restraining order,1992
Domestic violence,0,Alaska,Restraining order,1992
Domestic violence,0,Alaska,Restraining order,1992
Domestic violence,0,Alaska,Restraining order,1992
Domestic violence,0,Alaska,Restraining order,1992
Domestic violence,0,Alaska,Restraining order,1992
Domestic violence,0,Alaska,Restraining order,1992
Domestic violence,0,Alaska,Restraining order,1992
Domestic violence,0,Alaska,Restraining order,1992
Domestic violence,0,Alaska,Restraining order,1992
Domestic violence,0,Alaska,Restraining order,1992
Domestic violence,0,Alaska,Stalking,1992
Domestic violence,0,Alaska,Restraining order,1993
Domestic violence,0,Alaska,Restraining order,1993
Domestic violence,0,Alaska,Restraining order,1993
Domestic violence,0,Alaska,Restraining order,1993
Domestic violence,0,Alaska,Restraining order,1993
Domestic violence,0,Alaska,Restraining order,1993
Domestic violence,0,Alaska,Restraining order,1993
Domestic violence,0,Alaska,Restraining order,1993
Domestic violence,0,Alaska,Restraining order,1993
Domestic violence,0,Alaska,Restraining order,1993
Domestic violence,0,Alaska,Restraining order,1993
Domestic violence,0,Alaska,Stalking,1993
Domestic violence,0,Alaska,Restraining order,1994
Domestic violence,0,Alaska,Restraining order,1994
Domestic violence,0,Alaska,Restraining order,1994
Domestic violence,0,Alaska,Restraining order,1994
Domestic violence,0,Alaska,Restraining order,1994
Domestic violence,0,Alaska,Restraining order,1994
Domestic violence,0,Alaska,Restraining order,1994
Domestic violence,0,Alaska,Restraining order,1994
Domestic violence,0,Alaska,Restraining order,1994
Domestic violence,0,Alaska,Restraining order,1994
Domestic violence,0,Alaska,Restraining order,1994
Domestic violence,0,Alaska,Stalking,1994
Domestic violence,0,Alaska,Restraining order,1995
Domestic violence,0,Alaska,Restraining order,1995
Domestic violence,0,Alaska,Restraining order,1995
Domestic violence,0,Alaska,Restraining order,1995
Domestic violence,0,Alaska,Restraining order,1995
Domestic violence,0,Alaska,Restraining order,1995
Concealed carry permitting,0,Alaska,Background checks,2017
Concealed carry permitting,0,Alaska,Background checks,2017
Concealed carry permitting,0,Alaska,Background checks,2017
Concealed carry permitting,1,Alaska,Permitting,2017
Concealed carry permitting,0,Alaska,Permitting,2017
Concealed carry permitting,0,Alaska,Permitting,2017
Concealed carry permitting,0,Alaska,Permitting,2017
Dealer regulation,0,Alaska,Inspections,1991
Dealer regulation,0,Alaska,Junk guns,1991
Dealer regulation,0,Alaska,Liability,1991
Dealer regulation,0,Alaska,Licensing,1991
Dealer regulation,0,Alaska,Licensing,1991
Dealer regulation,0,Alaska,Location,1991
Dealer regulation,0,Alaska,Recordkeeping,1991
Dealer regulation,0,Alaska,Recordkeeping,1991
Dealer regulation,0,Alaska,Recordkeeping,1991
Dealer regulation,0,Alaska,Recordkeeping,1991
Dealer regulation,0,Alaska,Reporting,1991
Dealer regulation,0,Alaska,Reporting,1991
Dealer regulation,0,Alaska,Reporting,1991
Dealer regulation,0,Alaska,Reporting,1991
Dealer regulation,0,Alaska,Reporting,1991
Dealer regulation,0,Alaska,Security,1991
Dealer regulation,0,Alaska,Theft reporting,1991
Dealer regulation,0,Alaska,Inspections,1992
Dealer regulation,0,Alaska,Junk guns,1992
Dealer regulation,0,Alaska,Liability,1992
Dealer regulation,0,Alaska,Licensing,1992
Dealer regulation,0,Alaska,Licensing,1992
Dealer regulation,0,Alaska,Location,1992
Dealer regulation,0,Alaska,Recordkeeping,1992
Dealer regulation,0,Alaska,Recordkeeping,1992
Dealer regulation,0,Alaska,Recordkeeping,1992
Dealer regulation,0,Alaska,Recordkeeping,1992
Dealer regulation,0,Alaska,Reporting,1992
Dealer regulation,0,Alaska,Reporting,1992
Dealer regulation,0,Alaska,Reporting,1992
Dealer regulation,0,Alaska,Reporting,1992
Dealer regulation,0,Alaska,Reporting,1992
Dealer regulation,0,Alaska,Security,1992
Dealer regulation,0,Alaska,Theft reporting,1992
Dealer regulation,0,Alaska,Inspections,1993
Dealer regulation,0,Alaska,Junk guns,1993
Dealer regulation,0,Alaska,Liability,1993
Dealer regulation,0,Alaska,Licensing,1993
Dealer regulation,0,Alaska,Licensing,1993
Dealer regulation,0,Alaska,Location,1993
Dealer regulation,0,Alaska,Recordkeeping,1993
Dealer regulation,0,Alaska,Recordkeeping,1993
Dealer regulation,0,Alaska,Recordkeeping,1993
Dealer regulation,0,Alaska,Recordkeeping,1993
Dealer regulation,0,Alaska,Reporting,1993
Dealer regulation,0,Alaska,Reporting,1993
Dealer regulation,0,Alaska,Reporting,1993
Dealer regulation,0,Alaska,Reporting,1993
Dealer regulation,0,Alaska,Reporting,1993
Dealer regulation,0,Alaska,Security,1993
Dealer regulation,0,Alaska,Theft reporting,1993
Dealer regulation,0,Alaska,Inspections,1994
Dealer regulation,0,Alaska,Junk guns,1994
Dealer regulation,0,Alaska,Liability,1994
Dealer regulation,0,Alaska,Licensing,1994
Dealer regulation,0,Alaska,Licensing,1994
Dealer regulation,0,Alaska,Location,1994
Dealer regulation,0,Alaska,Recordkeeping,1994
Dealer regulation,0,Alaska,Recordkeeping,1994
Dealer regulation,0,Alaska,Recordkeeping,1994
Dealer regulation,0,Alaska,Recordkeeping,1994
Dealer regulation,0,Alaska,Reporting,1994
Dealer regulation,0,Alaska,Reporting,1994
Dealer regulation,0,Alaska,Reporting,1994
Dealer regulation,0,Alaska,Reporting,1994
Dealer regulation,0,Alaska,Reporting,1994
Dealer regulation,0,Alaska,Security,1994
Dealer regulation,0,Alaska,Theft reporting,1994
Dealer regulation,0,Alaska,Inspections,1995
Dealer regulation,0,Alaska,Junk guns,1995
Dealer regulation,0,Alaska,Liability,1995
Dealer regulation,0,Alaska,Licensing,1995
Dealer regulation,0,Alaska,Licensing,1995
Dealer regulation,0,Alaska,Location,1995
Dealer regulation,0,Alaska,Recordkeeping,1995
Dealer regulation,0,Alaska,Recordkeeping,1995
Dealer regulation,0,Alaska,Recordkeeping,1995
Dealer regulation,0,Alaska,Recordkeeping,1995
Dealer regulation,0,Alaska,Reporting,1995
Dealer regulation,0,Alaska,Reporting,1995
Dealer regulation,0,Alaska,Reporting,1995
Dealer regulation,0,Alaska,Reporting,1995
Dealer regulation,0,Alaska,Reporting,1995
Dealer regulation,0,Alaska,Security,1995
Dealer regulation,0,Alaska,Theft reporting,1995
Dealer regulation,0,Alaska,Inspections,1996
Dealer regulation,0,Alaska,Junk guns,1996
Dealer regulation,0,Alaska,Liability,1996
Dealer regulation,0,Alaska,Licensing,1996
Dealer regulation,0,Alaska,Licensing,1996
Dealer regulation,0,Alaska,Location,1996
Dealer regulation,0,Alaska,Recordkeeping,1996
Dealer regulation,0,Alaska,Recordkeeping,1996
Dealer regulation,0,Alaska,Recordkeeping,1996
Dealer regulation,0,Alaska,Recordkeeping,1996
Dealer regulation,0,Alaska,Reporting,1996
Dealer regulation,0,Alaska,Reporting,1996
Dealer regulation,0,Alaska,Reporting,1996
Dealer regulation,0,Alaska,Reporting,1996
Dealer regulation,0,Alaska,Reporting,1996
Dealer regulation,0,Alaska,Security,1996
Dealer regulation,0,Alaska,Theft reporting,1996
Dealer regulation,0,Alaska,Inspections,1997
Dealer regulation,0,Alaska,Junk guns,1997
Dealer regulation,0,Alaska,Liability,1997
Dealer regulation,0,Alaska,Licensing,1997
Dealer regulation,0,Alaska,Licensing,1997
Dealer regulation,0,Alaska,Location,1997
Dealer regulation,0,Alaska,Recordkeeping,1997
Dealer regulation,0,Alaska,Recordkeeping,1997
Dealer regulation,0,Alaska,Recordkeeping,1997
Dealer regulation,0,Alaska,Recordkeeping,1997
Dealer regulation,0,Alaska,Reporting,1997
Dealer regulation,0,Alaska,Reporting,1997
Dealer regulation,0,Alaska,Reporting,1997
Dealer regulation,0,Alaska,Reporting,1997
Dealer regulation,0,Alaska,Reporting,1997
Dealer regulation,0,Alaska,Security,1997
Dealer regulation,0,Alaska,Theft reporting,1997
Dealer regulation,0,Alaska,Inspections,1998
Dealer regulation,0,Alaska,Junk guns,1998
Dealer regulation,0,Alaska,Liability,1998
Dealer regulation,0,Alaska,Licensing,1998
Dealer regulation,0,Alaska,Licensing,1998
Dealer regulation,0,Alaska,Location,1998
Dealer regulation,0,Alaska,Recordkeeping,1998
Dealer regulation,0,Alaska,Recordkeeping,1998
Dealer regulation,0,Alaska,Recordkeeping,1998
Dealer regulation,0,Alaska,Recordkeeping,1998
Dealer regulation,0,Alaska,Reporting,1998
Dealer regulation,0,Alaska,Reporting,1998
Dealer regulation,0,Alaska,Reporting,1998
Dealer regulation,0,Alaska,Reporting,1998
Dealer regulation,0,Alaska,Reporting,1998
Dealer regulation,0,Alaska,Security,1998
Dealer regulation,0,Alaska,Theft reporting,1998
Dealer regulation,0,Alaska,Inspections,1999
Dealer regulation,0,Alaska,Junk guns,1999
Dealer regulation,0,Alaska,Liability,1999
Dealer regulation,0,Alaska,Licensing,1999
Dealer regulation,0,Alaska,Licensing,1999
Dealer regulation,0,Alaska,Location,1999
Dealer regulation,0,Alaska,Recordkeeping,1999
Dealer regulation,0,Alaska,Recordkeeping,1999
Dealer regulation,0,Alaska,Recordkeeping,1999
Dealer regulation,0,Alaska,Recordkeeping,1999
Dealer regulation,0,Alaska,Reporting,1999
Dealer regulation,0,Alaska,Reporting,1999
Dealer regulation,0,Alaska,Reporting,1999
Dealer regulation,0,Alaska,Reporting,1999
Dealer regulation,0,Alaska,Reporting,1999
Dealer regulation,0,Alaska,Security,1999
Dealer regulation,0,Alaska,Theft reporting,1999
Dealer regulation,0,Alaska,Inspections,2000
Dealer regulation,0,Alaska,Junk guns,2000
Dealer regulation,0,Alaska,Liability,2000
Domestic violence,0,Alaska,Stalking,2007
Domestic violence,0,Alaska,Restraining order,2008
Domestic violence,0,Alaska,Restraining order,2008
Domestic violence,0,Alaska,Restraining order,2008
Domestic violence,0,Alaska,Restraining order,2008
Domestic violence,0,Alaska,Restraining order,2008
Domestic violence,0,Alaska,Restraining order,2008
Domestic violence,0,Alaska,Restraining order,2008
Domestic violence,0,Alaska,Restraining order,2008
